productive_time,learning_preference,focus_span,review_frequency,exam_preparation,note_taking,question_asking,concept_handling,organization,learning_skill_level,capable_cgpa
Late night (12 AM-5 AM),Through videos and visual aids,30-60 minutes,Never,Study regularly throughout,I jot down a few points,Never,Skip them,Somewhat organized,Below Average,5.65
Night (9 PM-12 AM),In group discussions,30-60 minutes,Never,Study a few days before,I jot down a few points,Never,Try to understand briefly,Somewhat organized,Average,6.52
Afternoon (12-5 PM),Through hands-on practice,More than 2 hours,Sometimes,Study a few days before,I jot down a few points,Rarely,Spend time until I understand,Not organized at all,Average,8.23
Afternoon (12-5 PM),Through videos and visual aids,30-60 minutes,Always,Study a few days before,I don't take notes,Rarely,Research deeply and ask for help,Fairly organized,Average,6.85
Late night (12 AM-5 AM),By reading textbooks/notes,1-2 hours,Rarely,Cram the night before,I take detailed notes,Rarely,Spend time until I understand,Fairly organized,Average,6.69
Late night (12 AM-5 AM),Through hands-on practice,Less than 15 minutes,Always,Study a few days before,I take detailed notes,Never,Spend time until I understand,Somewhat organized,Average,6.52
Late night (12 AM-5 AM),Through videos and visual aids,30-60 minutes,Rarely,Create a detailed study plan weeks in advance,I use structured methods like Cornell notes,Rarely,Try to understand briefly,Fairly organized,Average,7.27
Evening (5-9 PM),Through hands-on practice,More than 2 hours,Rarely,Study regularly throughout,I jot down a few points,Rarely,Spend time until I understand,Somewhat organized,Average,6.56
Late night (12 AM-5 AM),By reading textbooks/notes,15-30 minutes,Sometimes,Study a few days before,I don't take notes,Sometimes,Skip them,Very organized,Average,8.3
Morning (8 AM-12 PM),Through hands-on practice,15-30 minutes,Rarely,Cram the night before,I take detailed notes,Rarely,Skip them,Somewhat organized,Below Average,5.22
Afternoon (12-5 PM),By reading textbooks/notes,1-2 hours,Sometimes,Study regularly throughout,I jot down a few points,Often,Skip them,Somewhat organized,Average,6.7
Afternoon (12-5 PM),In group discussions,30-60 minutes,Sometimes,Study regularly throughout,I use structured methods like Cornell notes,Rarely,Spend time until I understand,Not organized at all,Average,8.29
Night (9 PM-12 AM),In group discussions,15-30 minutes,Never,Create a detailed study plan weeks in advance,I jot down a few points,Sometimes,Try to understand briefly,Fairly organized,Average,6.69
Afternoon (12-5 PM),In group discussions,Less than 15 minutes,Rarely,Create a detailed study plan weeks in advance,I use structured methods like Cornell notes,Often,Spend time until I understand,Not organized at all,Above Average,8.9
Afternoon (12-5 PM),Through videos and visual aids,30-60 minutes,Never,Cram the night before,I use structured methods like Cornell notes,Sometimes,Spend time until I understand,Not organized at all,Average,6.54
Night (9 PM-12 AM),By reading textbooks/notes,30-60 minutes,Always,Study regularly throughout,I jot down a few points,Sometimes,Skip them,Very organized,Average,6.82
Night (9 PM-12 AM),Through hands-on practice,30-60 minutes,Rarely,Study regularly throughout,I don't take notes,Rarely,Research deeply and ask for help,Somewhat organized,Below Average,6.09
Late night (12 AM-5 AM),In group discussions,15-30 minutes,Often,Create a detailed study plan weeks in advance,I jot down a few points,Rarely,Research deeply and ask for help,Not organized at all,Average,8.05
Late night (12 AM-5 AM),In group discussions,15-30 minutes,Often,Study a few days before,I don't take notes,Often,Try to understand briefly,Very organized,Average,8.11
Night (9 PM-12 AM),By reading textbooks/notes,15-30 minutes,Often,Cram the night before,I take detailed notes,Sometimes,Research deeply and ask for help,Not organized at all,Average,7.65
Night (9 PM-12 AM),In group discussions,30-60 minutes,Often,Cram the night before,I use structured methods like Cornell notes,Never,Spend time until I understand,Somewhat organized,Average,7.54
Night (9 PM-12 AM),In group discussions,Less than 15 minutes,Often,Cram the night before,I take detailed notes,Sometimes,Research deeply and ask for help,Somewhat organized,Average,7.58
Early morning (5-8 AM),Through hands-on practice,30-60 minutes,Often,Cram the night before,I don't take notes,Sometimes,Try to understand briefly,Somewhat organized,Average,7.43
Morning (8 AM-12 PM),By reading textbooks/notes,More than 2 hours,Sometimes,Cram the night before,I don't take notes,Often,Try to understand briefly,Not organized at all,Average,6.68
Evening (5-9 PM),By reading textbooks/notes,15-30 minutes,Never,Study regularly throughout,I don't take notes,Rarely,Spend time until I understand,Somewhat organized,Below Average,6.0
Morning (8 AM-12 PM),Through videos and visual aids,30-60 minutes,Never,Cram the night before,I use structured methods like Cornell notes,Rarely,Spend time until I understand,Very organized,Average,6.93
Evening (5-9 PM),In group discussions,30-60 minutes,Always,Create a detailed study plan weeks in advance,I jot down a few points,Often,Skip them,Fairly organized,Average,7.78
Afternoon (12-5 PM),Through videos and visual aids,15-30 minutes,Sometimes,Study a few days before,I take detailed notes,Sometimes,Skip them,Not organized at all,Average,7.24
Afternoon (12-5 PM),By reading textbooks/notes,More than 2 hours,Always,Create a detailed study plan weeks in advance,I use structured methods like Cornell notes,Never,Try to understand briefly,Very organized,Above Average,9.89
Night (9 PM-12 AM),In group discussions,More than 2 hours,Always,Study regularly throughout,I don't take notes,Often,Research deeply and ask for help,Not organized at all,Above Average,8.9
Late night (12 AM-5 AM),Through videos and visual aids,1-2 hours,Often,Study a few days before,I use structured methods like Cornell notes,Rarely,Skip them,Somewhat organized,Average,7.05
Evening (5-9 PM),Through hands-on practice,More than 2 hours,Often,Study regularly throughout,I jot down a few points,Often,Research deeply and ask for help,Not organized at all,Above Average,8.64
Early morning (5-8 AM),Through videos and visual aids,30-60 minutes,Never,Study a few days before,I don't take notes,Sometimes,Skip them,Very organized,Average,6.96
Late night (12 AM-5 AM),Through videos and visual aids,Less than 15 minutes,Never,Cram the night before,I use structured methods like Cornell notes,Never,Skip them,Not organized at all,Below Average,6.32
Night (9 PM-12 AM),By reading textbooks/notes,1-2 hours,Always,Create a detailed study plan weeks in advance,I use structured methods like Cornell notes,Sometimes,Skip them,Very organized,Above Average,9.52
Late night (12 AM-5 AM),In group discussions,15-30 minutes,Never,Create a detailed study plan weeks in advance,I take detailed notes,Never,Spend time until I understand,Very organized,Above Average,8.58
Morning (8 AM-12 PM),Through hands-on practice,30-60 minutes,Sometimes,Study regularly throughout,I take detailed notes,Often,Skip them,Not organized at all,Above Average,8.62
Early morning (5-8 AM),Through hands-on practice,1-2 hours,Never,Study regularly throughout,I don't take notes,Rarely,Skip them,Fairly organized,Average,7.89
Early morning (5-8 AM),Through videos and visual aids,Less than 15 minutes,Sometimes,Study a few days before,I jot down a few points,Often,Try to understand briefly,Somewhat organized,Average,7.92
Afternoon (12-5 PM),In group discussions,1-2 hours,Often,Cram the night before,I don't take notes,Rarely,Research deeply and ask for help,Not organized at all,Average,8.39
Afternoon (12-5 PM),In group discussions,More than 2 hours,Never,Study regularly throughout,I jot down a few points,Often,Try to understand briefly,Not organized at all,Average,8.32
Early morning (5-8 AM),By reading textbooks/notes,Less than 15 minutes,Sometimes,Create a detailed study plan weeks in advance,I use structured methods like Cornell notes,Never,Spend time until I understand,Somewhat organized,Average,6.91
Afternoon (12-5 PM),Through hands-on practice,More than 2 hours,Rarely,Cram the night before,I use structured methods like Cornell notes,Never,Skip them,Somewhat organized,Below Average,5.3
Evening (5-9 PM),In group discussions,15-30 minutes,Always,Study regularly throughout,I use structured methods like Cornell notes,Never,Try to understand briefly,Not organized at all,Average,7.17
Morning (8 AM-12 PM),By reading textbooks/notes,30-60 minutes,Never,Create a detailed study plan weeks in advance,I don't take notes,Rarely,Research deeply and ask for help,Very organized,Average,6.83
Late night (12 AM-5 AM),Through hands-on practice,30-60 minutes,Often,Study regularly throughout,I use structured methods like Cornell notes,Never,Try to understand briefly,Somewhat organized,Average,6.69
Afternoon (12-5 PM),By reading textbooks/notes,15-30 minutes,Sometimes,Cram the night before,I don't take notes,Rarely,Try to understand briefly,Somewhat organized,Below Average,5.69
Evening (5-9 PM),Through videos and visual aids,15-30 minutes,Never,Create a detailed study plan weeks in advance,I don't take notes,Often,Spend time until I understand,Very organized,Average,7.91
Afternoon (12-5 PM),In group discussions,15-30 minutes,Always,Study a few days before,I take detailed notes,Never,Try to understand briefly,Somewhat organized,Average,7.59
Early morning (5-8 AM),Through hands-on practice,More than 2 hours,Rarely,Cram the night before,I jot down a few points,Often,Skip them,Very organized,Above Average,9.04
Morning (8 AM-12 PM),In group discussions,Less than 15 minutes,Often,Study regularly throughout,I jot down a few points,Rarely,Skip them,Not organized at all,Average,7.09
Late night (12 AM-5 AM),By reading textbooks/notes,More than 2 hours,Often,Study a few days before,I don't take notes,Often,Try to understand briefly,Somewhat organized,Average,7.21
Early morning (5-8 AM),In group discussions,15-30 minutes,Sometimes,Create a detailed study plan weeks in advance,I take detailed notes,Rarely,Spend time until I understand,Not organized at all,Above Average,8.68
Night (9 PM-12 AM),Through videos and visual aids,More than 2 hours,Often,Study regularly throughout,I use structured methods like Cornell notes,Rarely,Try to understand briefly,Fairly organized,Average,6.91
Evening (5-9 PM),By reading textbooks/notes,1-2 hours,Always,Cram the night before,I take detailed notes,Often,Research deeply and ask for help,Not organized at all,Above Average,9.26
Night (9 PM-12 AM),In group discussions,30-60 minutes,Never,Study a few days before,I don't take notes,Sometimes,Research deeply and ask for help,Fairly organized,Average,8.32
Night (9 PM-12 AM),Through videos and visual aids,1-2 hours,Never,Study a few days before,I take detailed notes,Never,Try to understand briefly,Not organized at all,Average,7.02
Late night (12 AM-5 AM),By reading textbooks/notes,Less than 15 minutes,Rarely,Study a few days before,I use structured methods like Cornell notes,Never,Try to understand briefly,Not organized at all,Below Average,5.14
Night (9 PM-12 AM),Through videos and visual aids,More than 2 hours,Rarely,Study regularly throughout,I don't take notes,Often,Try to understand briefly,Not organized at all,Average,7.14
Late night (12 AM-5 AM),Through hands-on practice,Less than 15 minutes,Always,Cram the night before,I jot down a few points,Never,Skip them,Very organized,Below Average,5.41
Morning (8 AM-12 PM),Through videos and visual aids,More than 2 hours,Often,Cram the night before,I take detailed notes,Often,Spend time until I understand,Fairly organized,Above Average,9.79
Morning (8 AM-12 PM),In group discussions,15-30 minutes,Rarely,Study regularly throughout,I don't take notes,Sometimes,Research deeply and ask for help,Somewhat organized,Average,8.23
Early morning (5-8 AM),By reading textbooks/notes,15-30 minutes,Rarely,Create a detailed study plan weeks in advance,I use structured methods like Cornell notes,Often,Spend time until I understand,Fairly organized,Above Average,9.99
